"band_id","member_uri","name","current_member","member_id"
1,"  http://dbpedia.org/resource/Davey_von_Bohlen  ","  Davey von Bohlen   ",True,2528
6,"  http://dbpedia.org/resource/Greg_Cartwright  ","  Greg Cartwright   ",True,3885
6,"  http://dbpedia.org/resource/Jack_Yarber  ","  Jack Yarber   ",True,4412
6,"  http://dbpedia.org/resource/Jack_Yarber  ","  Jack Oblivian   ",True,4412
13,"  http://dbpedia.org/resource/Martin_Courtney  ","  Martin Courtney   ",True,7054
13,"  http://dbpedia.org/resource/Alex_Bleeker  ","  Alex Bleeker   ",True,246
16,"  http://dbpedia.org/resource/Kevin_Olusola  ","  Kevin Olusola   ",True,6116
16,"  http://dbpedia.org/resource/Kirstin_Maldonado  ","  Kirstin Maldonado   ",True,6204
21,"  http://dbpedia.org/resource/Kenny_Sabir  ","  Kenny Sabir   ",True,6065
21,"  http://dbpedia.org/resource/Urthboy  ","  Urthboy   ",True,11159
26,"  http://dbpedia.org/resource/Lyrics_Born  ","  Lyrics Born   ",True,6712
27,"  http://dbpedia.org/resource/Val_Fuentes  ","  Val Fuentes   ",True,11168
27,"  http://dbpedia.org/resource/David_LaFlamme  ","  David LaFlamme   ",True,2600
29,"  http://dbpedia.org/resource/Larry_Smith_(musician)  ","  Larry Smith   ",True,6345
29,"  http://dbpedia.org/resource/Roger_Ruskin_Spear  ","  Roger Ruskin Spear   ",True,9319
29,"  http://dbpedia.org/resource/Neil_Innes  ","  Neil Innes   ",True,7944
29,"  http://dbpedia.org/resource/Bob_Kerr_(musician)  ","  Bob Kerr   ",True,1140
29,"  http://dbpedia.org/resource/Rodney_Slater_(musician)  ","  Rodney Slater   ",True,9289
30,"  http://dbpedia.org/resource/Ron_Hawkins  ","  Ron Hawkins   ",True,9366
33,"  http://dbpedia.org/resource/Mark_McClelland  ","  Mark McClelland   ",True,6947
33,"  http://dbpedia.org/resource/Norman_Blake_(Scottish_musician)  ","  Norman Blake   ",True,8132
33,"  http://dbpedia.org/resource/Eugene_Kelly  ","  Eugene Kelly   ",True,3337
33,"  http://dbpedia.org/resource/Gareth_Russell_(musician)  ","  Gareth Russell   ",True,3585
33,"  http://dbpedia.org/resource/Bobby_Kildea  ","  Bobby Kildea   ",True,1103
33,"  http://dbpedia.org/resource/Mick_Cooke  ","  Mick Cooke   ",True,7511
33,"  http://dbpedia.org/resource/Gary_Lightbody  ","  Gary Lightbody   ",True,3616
33,"  http://dbpedia.org/resource/Colin_MacIntyre  ","  Colin MacIntyre   ",True,2039
