" member_uri					";" name	            "
  http://dbpedia.org/resource/Davey_von_Bohlen  ;  Davey von Bohlen   
  http://dbpedia.org/resource/Greg_Cartwright  ;  Greg Cartwright   
  http://dbpedia.org/resource/Jack_Yarber  ;  Jack Yarber   
  http://dbpedia.org/resource/Jack_Yarber  ;  Jack Oblivian   
  http://dbpedia.org/resource/Martin_Courtney  ;  Martin Courtney   
  http://dbpedia.org/resource/Alex_Bleeker  ;  Alex Bleeker   
  http://dbpedia.org/resource/Kevin_Olusola  ;  Kevin Olusola   
  http://dbpedia.org/resource/Kirstin_Maldonado  ;  Kirstin Maldonado   
  http://dbpedia.org/resource/Kenny_Sabir  ;  Kenny Sabir   
  http://dbpedia.org/resource/Urthboy  ;  Urthboy   
  http://dbpedia.org/resource/Lyrics_Born  ;  Lyrics Born   
  http://dbpedia.org/resource/Val_Fuentes  ;  Val Fuentes   
  http://dbpedia.org/resource/David_LaFlamme  ;  David LaFlamme   
  http://dbpedia.org/resource/Larry_Smith_(musician)  ;  Larry Smith   
  http://dbpedia.org/resource/Roger_Ruskin_Spear  ;  Roger Ruskin Spear   
  http://dbpedia.org/resource/Neil_Innes  ;  Neil Innes   
  http://dbpedia.org/resource/Bob_Kerr_(musician)  ;  Bob Kerr   
  http://dbpedia.org/resource/Rodney_Slater_(musician)  ;  Rodney Slater   
  http://dbpedia.org/resource/Ron_Hawkins  ;  Ron Hawkins   
  http://dbpedia.org/resource/Mark_McClelland  ;  Mark McClelland   
  http://dbpedia.org/resource/Norman_Blake_(Scottish_musician)  ;  Norman Blake   
  http://dbpedia.org/resource/Eugene_Kelly  ;  Eugene Kelly   
  http://dbpedia.org/resource/Gareth_Russell_(musician)  ;  Gareth Russell   
  http://dbpedia.org/resource/Bobby_Kildea  ;  Bobby Kildea   
  http://dbpedia.org/resource/Mick_Cooke  ;  Mick Cooke   
  http://dbpedia.org/resource/Gary_Lightbody  ;  Gary Lightbody   
  http://dbpedia.org/resource/Colin_MacIntyre  ;  Colin MacIntyre   
  http://dbpedia.org/resource/Richard_Colburn  ;  Richard Colburn   
  http://dbpedia.org/resource/Aidan_Moffat  ;  Aidan Moffat   
  http://dbpedia.org/resource/John_Cummings_(musician)  ;  John Cummings   
  http://dbpedia.org/resource/Jonny_Quinn  ;  Jonny Quinn   
  http://dbpedia.org/resource/Iain_Archer  ;  Iain Archer   
  http://dbpedia.org/resource/Malcolm_Middleton  ;  Malcolm Middleton   
  http://dbpedia.org/resource/Roddy_Woomble  ;  Roddy Woomble   
  http://dbpedia.org/resource/Suzuka_Nakamoto  ;  Suzuka Nakamoto   
  http://dbpedia.org/resource/Moa_Kikuchi  ;  Moa Kikuchi   
  http://dbpedia.org/resource/Yui_Mizuno  ;  Yui Mizuno   
  http://dbpedia.org/resource/Jace_Lasek  ;  Jace Lasek   
  http://dbpedia.org/resource/Joris_Vanvinckenroye  ;  Joris Vanvinckenroye   
  http://dbpedia.org/resource/Neal_Casal  ;  Neal Casal   
  http://dbpedia.org/resource/Chris_Robinson_(singer)  ;  Chris Robinson   
  http://dbpedia.org/resource/Tony_Leone  ;  Tony Leone   
  http://dbpedia.org/resource/Madeline_(musician)  ;  Madeline   
  http://dbpedia.org/resource/Taylor_Jardine  ;  Taylor Jardine   
  http://dbpedia.org/resource/Jānis_Ozols  ;  Jānis Ozols   
  http://dbpedia.org/resource/Craig_Mabbitt  ;  Craig Mabbitt   
  http://dbpedia.org/resource/Josh_Ostrander  ;  Josh Ostrander   
  http://dbpedia.org/resource/Natalia_Chumakova  ;  Natalia Chumakova   
  http://dbpedia.org/resource/Yegor_Letov  ;  Yegor Letov   
  http://dbpedia.org/resource/Sheila_(singer)  ;  Sheila   
  http://dbpedia.org/resource/Jon_Syverson  ;  Jon Syverson   
  http://dbpedia.org/resource/Alexis_S.F._Marshall  ;  Alexis S.F. Marshall   
  http://dbpedia.org/resource/Michale_Graves  ;  Michale Graves   
  http://dbpedia.org/resource/Al-P  ;  Al-P   
  http://dbpedia.org/resource/Jesse_F._Keeler  ;  Jesse F. Keeler   
  http://dbpedia.org/resource/Marvin_Winans  ;  Marvin Winans   
  http://dbpedia.org/resource/Henrik_Flyman  ;  Henrik Flyman   
  http://dbpedia.org/resource/Mark_E._Smith  ;  Mark E. Smith   
  http://dbpedia.org/resource/Humberto_Clayber  ;  Humberto Clayber   
  http://dbpedia.org/resource/Hermeto_Pascoal  ;  Hermeto Pascoal   
  http://dbpedia.org/resource/Airto_Moreira  ;  Airto Moreira   
  http://dbpedia.org/resource/Robbie_Shakespeare  ;  Robbie Shakespeare   
  http://dbpedia.org/resource/Robbie_Shakespeare  ;  Robert Shakespeare   
  http://dbpedia.org/resource/Sly_Dunbar  ;  Sly Dunbar   
  http://dbpedia.org/resource/Vinnie_Amico  ;  Vinnie Amico   
  http://dbpedia.org/resource/Al_Schnier  ;  Al Schnier   
  http://dbpedia.org/resource/Rob_Derhak  ;  Rob Derhak   
  http://dbpedia.org/resource/Chuck_Garvey  ;  Chuck Garvey   
  http://dbpedia.org/resource/Mick_Whitnall  ;  Mick Whitnall   
  http://dbpedia.org/resource/Pete_Doherty  ;  Pete Doherty   
  http://dbpedia.org/resource/Drew_McConnell  ;  Drew McConnell   
  http://dbpedia.org/resource/Nana_Kitade  ;  Nana Kitade   
  http://dbpedia.org/resource/Gail_Greenwood  ;  Gail Greenwood   
  http://dbpedia.org/resource/Tanya_Donelly  ;  Tanya Donelly   
  http://dbpedia.org/resource/Robert_Sarzo  ;  Robert Sarzo   
  http://dbpedia.org/resource/Jim_McIntyre_(musician)  ;  Jim McIntyre   
  http://dbpedia.org/resource/Babis_Stokas  ;  Babis Stokas   
  http://dbpedia.org/resource/Filippos_Pliatsikas  ;  Filippos Pliatsikas   
  http://dbpedia.org/resource/Kee_Marcello  ;  Kee Marcello   
  http://dbpedia.org/resource/Kee_Marcello  ;  Kee Marcello Löfbom   
  http://dbpedia.org/resource/Zinny_J._Zan  ;  Zinny J. Zan   
  http://dbpedia.org/resource/Michael_Doucet  ;  Michael Doucet   
  http://dbpedia.org/resource/Dirk_Verbeuren  ;  Dirk Verbeuren   
  http://dbpedia.org/resource/Anders_Odden  ;  Anders Odden   
  http://dbpedia.org/resource/Jase4Real  ;  Jase4Real   
  http://dbpedia.org/resource/Jase4Real  ;  Jase (of Soul For Real)   
  http://dbpedia.org/resource/Alec_Ounsworth  ;  Alec Ounsworth   
  http://dbpedia.org/resource/Jon_Kintz  ;  Jon Kintz   
  http://dbpedia.org/resource/Christofer_Johnsson  ;  Christofer Johnsson   
  http://dbpedia.org/resource/Lars_Rosenberg  ;  Lars Rosenberg   
  http://dbpedia.org/resource/Piotr_Wawrzeniuk  ;  Piotr Wawrzeniuk   
  http://dbpedia.org/resource/Dino_Cazares  ;  Dino Cazares   
  http://dbpedia.org/resource/Sebastian_Komor  ;  Sebastian Komor   
  http://dbpedia.org/resource/Sebastian_Komor  ;  Sebastian R. Komor   
  http://dbpedia.org/resource/Andy_LaPlegua  ;  Andy LaPlegua   
  http://dbpedia.org/resource/Simon_Toulson-Clarke  ;  Simon Toulson-Clarke   
  http://dbpedia.org/resource/Aska_(singer)  ;  Aska   
  http://dbpedia.org/resource/Jeff_Suffering  ;  Jeff Suffering   
  http://dbpedia.org/resource/Butch_Walker  ;  Butch Walker   
  http://dbpedia.org/resource/Wednesday_13  ;  Wednesday 13   
  http://dbpedia.org/resource/Ronny_Thorsen  ;  Ronny Thorsen   
  http://dbpedia.org/resource/Krister_Dreyer  ;  Krister Dreyer   
  http://dbpedia.org/resource/Jean-Paul_'Bluey'_Maunick  ;  Jean-Paul 'Bluey' Maunick   
  http://dbpedia.org/resource/Maysa_Leak  ;  Maysa Leak   
  http://dbpedia.org/resource/Tony_Momrelle  ;  Tony Momrelle   
  http://dbpedia.org/resource/Imaani  ;  Imaani   
  http://dbpedia.org/resource/Imaani  ;  Imaani Saleem   
  http://dbpedia.org/resource/Mitchy_Slick  ;  Mitchy Slick   
  http://dbpedia.org/resource/Armagedda  ;  Armagedda   
  http://dbpedia.org/resource/King_ov_Hell  ;  King ov Hell   
  http://dbpedia.org/resource/Jon_Dette  ;  Jon Dette   
  http://dbpedia.org/resource/Lee_Altus  ;  Lee Altus   
  http://dbpedia.org/resource/David_White_(heavy_metal_vocalist)  ;  David White   
  http://dbpedia.org/resource/Jason_Viebrooks  ;  Jason Viebrooks   
  http://dbpedia.org/resource/Michael_Benjamin_Lerner  ;  Michael Benjamin Lerner   
  http://dbpedia.org/resource/Mitch_Harris  ;  Mitch Harris   
  http://dbpedia.org/resource/Flea_(musician)  ;  Flea   
  http://dbpedia.org/resource/Thom_Yorke  ;  Thom Yorke   
  http://dbpedia.org/resource/Mauro_Refosco  ;  Mauro Refosco   
  http://dbpedia.org/resource/Nigel_Godrich  ;  Nigel Godrich   
  http://dbpedia.org/resource/Joey_Waronker  ;  Joey Waronker   
  http://dbpedia.org/resource/Dirk_Verbeuren  ;  Dirk Verbeuren   
  http://dbpedia.org/resource/Alexander_Bălănescu  ;  Alexander Bălănescu   
  http://dbpedia.org/resource/AMG_(rapper)  ;  AMG   
  http://dbpedia.org/resource/DJ_Quik  ;  DJ Quik   
  http://dbpedia.org/resource/Romany_Malco  ;  Romany Malco   
  http://dbpedia.org/resource/Adem_K  ;  Adem K   
  http://dbpedia.org/resource/Joe_Copcutt  ;  Joe Copcutt   
  http://dbpedia.org/resource/Adam_Carroll_(musician)  ;  Adam Carroll   
  http://dbpedia.org/resource/Yukmouth  ;  Yukmouth   
  http://dbpedia.org/resource/Numskull  ;  Numskull   
  http://dbpedia.org/resource/Jason_McGerr  ;  Jason McGerr   
  http://dbpedia.org/resource/Nick_Harmer  ;  Nick Harmer   
  http://dbpedia.org/resource/Ben_Gibbard  ;  Ben Gibbard   
  http://dbpedia.org/resource/Alex_Greenwald  ;  Alex Greenwald   
  http://dbpedia.org/resource/Sam_Farrar  ;  Sam Farrar   
  http://dbpedia.org/resource/Jon_Levine  ;  Jon Levine   
  http://dbpedia.org/resource/Gerald_Eaton  ;  Gerald Eaton   
  http://dbpedia.org/resource/Marc_Rogers  ;  Marc Rogers   
  http://dbpedia.org/resource/Josh_Homme  ;  Josh Homme   
  http://dbpedia.org/resource/Jesse_Hughes_(musician)  ;  Jesse Hughes   
  http://dbpedia.org/resource/Sonja_Kristina  ;  Sonja Kristina   
  http://dbpedia.org/resource/Sonja_Kristina  ;  Sonja Kristina Linwood   
  http://dbpedia.org/resource/Kirby_Gregory  ;  Kirby Gregory   
  http://dbpedia.org/resource/Florian_Pilkington-Miksa  ;  Florian Pilkington-Miksa   
  http://dbpedia.org/resource/John_Lawton_(musician)  ;  John Lawton   
  http://dbpedia.org/resource/Mathew_Priest  ;  Mathew Priest   
  http://dbpedia.org/resource/Chris_Daughtry  ;  Chris Daughtry   
  http://dbpedia.org/resource/David_McWane  ;  David McWane   
  http://dbpedia.org/resource/Tim_Thornton_(musician,_born_1973)  ;  Tim Thornton   
  http://dbpedia.org/resource/Trevor_Steel  ;  Trevor Steel   
  http://dbpedia.org/resource/Doug_McCombs  ;  Doug McCombs   
  http://dbpedia.org/resource/Doug_McCombs  ;  Douglas McCombs   
  http://dbpedia.org/resource/Doug_McCombs  ;  thumbnail|Douglas McCombs with Tortoise in London, February 2016   
  http://dbpedia.org/resource/John_McEntire  ;  John McEntire   
  http://dbpedia.org/resource/John_Herndon  ;  John Herndon   
  http://dbpedia.org/resource/Paul_Taylor_(keyboardist)  ;  Paul Taylor   
  http://dbpedia.org/resource/Kip_Winger  ;  Kip Winger   
  http://dbpedia.org/resource/Reb_Beach  ;  Reb Beach   
  http://dbpedia.org/resource/Rod_Morgenstein  ;  Rod Morgenstein   
  http://dbpedia.org/resource/John_Roth_(musician)  ;  John Roth   
  http://dbpedia.org/resource/Jyrki_69  ;  Jyrki 69   
  http://dbpedia.org/resource/Jussi_69  ;  Jussi 69   
  http://dbpedia.org/resource/Jamie_Lenman  ;  Jamie Lenman   
  http://dbpedia.org/resource/John_Ellis_(South_African_musician)  ;  John Ellis   
  http://dbpedia.org/resource/Daniel_Ornellas  ;  Daniel Ornellas   
  http://dbpedia.org/resource/Charlie_Sexton  ;  Charlie Sexton   
  http://dbpedia.org/resource/Chris_Layton  ;  Chris Layton   
  http://dbpedia.org/resource/Doyle_Bramhall_II  ;  Doyle Bramhall II   
  http://dbpedia.org/resource/Danny_Shirley  ;  Danny Shirley   
  http://dbpedia.org/resource/Tony_Fennell  ;  Tony Fennell   
  http://dbpedia.org/resource/Matt_Black_(DJ)  ;  Matt Black   
  http://dbpedia.org/resource/Ted_Dwane  ;  Ted Dwane   
  http://dbpedia.org/resource/Marcus_Mumford  ;  Marcus Mumford   
  http://dbpedia.org/resource/Ben_Lovett_(British_musician)  ;  Ben Lovett   
  http://dbpedia.org/resource/Ben_Lovett_(British_musician)  ;  Benjamin Walter David Lovett   
  http://dbpedia.org/resource/Winston_Marshall  ;  Winston Marshall   
  http://dbpedia.org/resource/Jason_%22Human_Kebab%22_Parsons  ;  Jason Parsons   
  http://dbpedia.org/resource/Jason_%22Human_Kebab%22_Parsons  ;  Jason \\\\Human Kebab\\\\ Parsons   
  http://dbpedia.org/resource/Adam_Devlin  ;  Adam Devlin   
  http://dbpedia.org/resource/Eds_Chesters  ;  Eds Chesters   
  http://dbpedia.org/resource/Mark_Morriss  ;  Mark Morriss   
  http://dbpedia.org/resource/Scott_Morriss  ;  Scott Morriss   
  http://dbpedia.org/resource/Frank_Portman  ;  Frank Portman   
  http://dbpedia.org/resource/Luna_(singer)  ;  Luna   
  http://dbpedia.org/resource/Victoria_Song  ;  Victoria Song   
  http://dbpedia.org/resource/Victoria_Song  ;  Sòng Qiàn   
  http://dbpedia.org/resource/Victoria_Song  ;  Sung3 Sin6   
  http://dbpedia.org/resource/Amber_Liu_(singer)  ;  Amber Liu   
  http://dbpedia.org/resource/Krystal_Jung  ;  Krystal   
  http://dbpedia.org/resource/Matthew_Burr  ;  Matthew Burr   
  http://dbpedia.org/resource/Grace_Potter  ;  Grace Potter   
  http://dbpedia.org/resource/Tom_Kennedy_(musician)  ;  Tom Kennedy   
  http://dbpedia.org/resource/Steve_Smith_(musician)  ;  Steve Smith   
  http://dbpedia.org/resource/Steve_Smith_(musician)  ;  Steve Elliott Smith   
  http://dbpedia.org/resource/Mike_Mainieri  ;  Mike Mainieri   
  http://dbpedia.org/resource/Bill_Evans_(saxophonist)  ;  Bill Evans   
  http://dbpedia.org/resource/Chuck_Loeb  ;  Chuck Loeb   
  http://dbpedia.org/resource/The_Datsuns  ;  The Datsuns   
  http://dbpedia.org/resource/Nicke_Andersson  ;  Nicke Andersson   
  http://dbpedia.org/resource/Leo_Nocentelli  ;  Leo Nocentelli   
  http://dbpedia.org/resource/George_Porter_Jr.  ;  George Porter   
  http://dbpedia.org/resource/George_Porter_Jr.  ;  George Porter Jr.   
  http://dbpedia.org/resource/Art_Neville  ;  Art Neville   
  http://dbpedia.org/resource/Stephen_Brodsky  ;  Stephen Brodsky   
  http://dbpedia.org/resource/Caleb_Scofield  ;  Caleb Scofield   
  http://dbpedia.org/resource/Jamie_Arentzen  ;  Jamie Arentzen   
  http://dbpedia.org/resource/Stacy_Jones  ;  Stacy Jones   
  http://dbpedia.org/resource/Drew_Parsons_(musician)  ;  Drew Parsons   
  http://dbpedia.org/resource/Bob_Nanna  ;  Bob Nanna   
  http://dbpedia.org/resource/Chris_Broach  ;  Chris Broach   
  http://dbpedia.org/resource/Damon_Atkinson  ;  Damon Atkinson   
  http://dbpedia.org/resource/Jona_Weinhofen  ;  Jona Weinhofen   
  http://dbpedia.org/resource/Minami_Takayama  ;  Minami Takayama   
  http://dbpedia.org/resource/Joy_Williams_(singer)  ;  Joy Williams   
  http://dbpedia.org/resource/John_Paul_White  ;  John Paul White   
  http://dbpedia.org/resource/Chris_Hillman  ;  Chris Hillman   
  http://dbpedia.org/resource/John_Jorgenson  ;  John Jorgenson   
  http://dbpedia.org/resource/Rhiannon_Giddens  ;  Rhiannon Giddens   
  http://dbpedia.org/resource/Fred_Schneider  ;  Fred Schneider   
  http://dbpedia.org/resource/Cath_Coffey  ;  Cath Coffey   
  http://dbpedia.org/resource/Greg_Saunier  ;  Greg Saunier   
  http://dbpedia.org/resource/Tim_Christensen  ;  Tim Christensen   
  http://dbpedia.org/resource/Richard_Holgarth  ;  Richard Holgarth   
  http://dbpedia.org/resource/Machel_Montano  ;  Machel Montano   
  http://dbpedia.org/resource/Miller_Anderson_(musician)  ;  Miller Anderson   
  http://dbpedia.org/resource/Colin_Hodgkinson  ;  Colin Hodgkinson   
  http://dbpedia.org/resource/Spencer_Davis  ;  Spencer Davis   
  http://dbpedia.org/resource/Matthew_Milia  ;  Matthew Milia   
  http://dbpedia.org/resource/Jonah_Jenkins  ;  Jonah Jenkins   
  http://dbpedia.org/resource/Jonah_Jenkins  ;  Jonah Jay Jenkins   
  http://dbpedia.org/resource/Jimmy_London_(rock_singer)  ;  Jimmy London   
  http://dbpedia.org/resource/Tataee  ;  Tataee   
  http://dbpedia.org/resource/Rami_Haikal  ;  Rami Haikal   
  http://dbpedia.org/resource/Ronny_Moorings  ;  Ronny Moorings   
  http://dbpedia.org/resource/Jeff_Thacher  ;  Jeff Thacher   
  http://dbpedia.org/resource/Scott_Leonard  ;  Scott Leonard   
  http://dbpedia.org/resource/Steven_Dorian  ;  Steven Dorian   
  http://dbpedia.org/resource/Steven_Dorian  ;  Steven Asadoorian   
  http://dbpedia.org/resource/Chris_Reifert  ;  Chris Reifert   
  http://dbpedia.org/resource/Danny_Coralles  ;  Danny Coralles   
  http://dbpedia.org/resource/Mícheál_Ó_Domhnaill  ;  Mícheál Ó Domhnaill   
  http://dbpedia.org/resource/Johnny_Cunningham  ;  Johnny Cunningham   
  http://dbpedia.org/resource/Tríona_Ní_Dhomhnaill  ;  Tríona Ní Dhomhnaill   
  http://dbpedia.org/resource/Brian_Dunning_(flautist)  ;  Brian Dunning   
  http://dbpedia.org/resource/Billy_Oskay  ;  Billy Oskay   
  http://dbpedia.org/resource/Mick_Barr  ;  Mick Barr   
