band_uri					;member_uri				; current_member
http://dbpedia.org/resource/Maritime_(band);  http://dbpedia.org/resource/Davey_von_Bohlen  ;true
http://dbpedia.org/resource/Compulsive_Gamblers;  http://dbpedia.org/resource/Greg_Cartwright  ;true
http://dbpedia.org/resource/Compulsive_Gamblers;  http://dbpedia.org/resource/Jack_Yarber  ;true
http://dbpedia.org/resource/Compulsive_Gamblers;  http://dbpedia.org/resource/Jack_Yarber  ;true
http://dbpedia.org/resource/Real_Estate_(band);  http://dbpedia.org/resource/Martin_Courtney  ;true
http://dbpedia.org/resource/Real_Estate_(band);  http://dbpedia.org/resource/Alex_Bleeker  ;true
http://dbpedia.org/resource/Pentatonix;  http://dbpedia.org/resource/Kevin_Olusola  ;true
http://dbpedia.org/resource/Pentatonix;  http://dbpedia.org/resource/Kirstin_Maldonado  ;true
http://dbpedia.org/resource/The_Herd_(Australian_band);  http://dbpedia.org/resource/Kenny_Sabir  ;true
http://dbpedia.org/resource/The_Herd_(Australian_band);  http://dbpedia.org/resource/Urthboy  ;true
http://dbpedia.org/resource/Latyrx;  http://dbpedia.org/resource/Lyrics_Born  ;true
http://dbpedia.org/resource/It's_a_Beautiful_Day;  http://dbpedia.org/resource/Val_Fuentes  ;true
http://dbpedia.org/resource/It's_a_Beautiful_Day;  http://dbpedia.org/resource/David_LaFlamme  ;true
http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;  http://dbpedia.org/resource/Larry_Smith_(musician)  ;true
http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;  http://dbpedia.org/resource/Roger_Ruskin_Spear  ;true
http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;  http://dbpedia.org/resource/Neil_Innes  ;true
http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;  http://dbpedia.org/resource/Bob_Kerr_(musician)  ;true
http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;  http://dbpedia.org/resource/Rodney_Slater_(musician)  ;true
http://dbpedia.org/resource/The_Lowest_of_the_Low;  http://dbpedia.org/resource/Ron_Hawkins  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Mark_McClelland  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Norman_Blake_(Scottish_musician)  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Eugene_Kelly  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Gareth_Russell_(musician)  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Bobby_Kildea  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Mick_Cooke  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Gary_Lightbody  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Colin_MacIntyre  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Richard_Colburn  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Aidan_Moffat  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/John_Cummings_(musician)  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Jonny_Quinn  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Iain_Archer  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Malcolm_Middleton  ;true
http://dbpedia.org/resource/The_Reindeer_Section;  http://dbpedia.org/resource/Roddy_Woomble  ;true
http://dbpedia.org/resource/Babymetal;  http://dbpedia.org/resource/Suzuka_Nakamoto  ;true
http://dbpedia.org/resource/Babymetal;  http://dbpedia.org/resource/Moa_Kikuchi  ;true
http://dbpedia.org/resource/Babymetal;  http://dbpedia.org/resource/Yui_Mizuno  ;true
http://dbpedia.org/resource/The_Besnard_Lakes;  http://dbpedia.org/resource/Jace_Lasek  ;true
http://dbpedia.org/resource/Aranis;  http://dbpedia.org/resource/Joris_Vanvinckenroye  ;true
http://dbpedia.org/resource/Chris_Robinson_Brotherhood;  http://dbpedia.org/resource/Neal_Casal  ;true
http://dbpedia.org/resource/Chris_Robinson_Brotherhood;  http://dbpedia.org/resource/Chris_Robinson_(singer)  ;true
http://dbpedia.org/resource/Chris_Robinson_Brotherhood;  http://dbpedia.org/resource/Tony_Leone  ;true
http://dbpedia.org/resource/Nana_Grizol;  http://dbpedia.org/resource/Madeline_(musician)  ;true
http://dbpedia.org/resource/We_Are_the_In_Crowd;  http://dbpedia.org/resource/Taylor_Jardine  ;true
http://dbpedia.org/resource/Cosmos_(band);  http://dbpedia.org/resource/Jānis_Ozols  ;true
http://dbpedia.org/resource/The_Dead_Rabbitts;  http://dbpedia.org/resource/Craig_Mabbitt  ;true
http://dbpedia.org/resource/Eastern_Conference_Champions;  http://dbpedia.org/resource/Josh_Ostrander  ;true
http://dbpedia.org/resource/Grazhdanskaya_Oborona;  http://dbpedia.org/resource/Natalia_Chumakova  ;true
http://dbpedia.org/resource/Grazhdanskaya_Oborona;  http://dbpedia.org/resource/Yegor_Letov  ;true
http://dbpedia.org/resource/Sheila_(and)_B._Devotion;  http://dbpedia.org/resource/Sheila_(singer)  ;true
http://dbpedia.org/resource/Daughters_(band);  http://dbpedia.org/resource/Jon_Syverson  ;true
http://dbpedia.org/resource/Daughters_(band);  http://dbpedia.org/resource/Alexis_S.F._Marshall  ;true
http://dbpedia.org/resource/Gotham_Road;  http://dbpedia.org/resource/Michale_Graves  ;true
http://dbpedia.org/resource/MSTRKRFT;  http://dbpedia.org/resource/Al-P  ;true
http://dbpedia.org/resource/MSTRKRFT;  http://dbpedia.org/resource/Jesse_F._Keeler  ;true
http://dbpedia.org/resource/The_Winans;  http://dbpedia.org/resource/Marvin_Winans  ;true
http://dbpedia.org/resource/Evil_Masquerade;  http://dbpedia.org/resource/Henrik_Flyman  ;true
http://dbpedia.org/resource/Von_Südenfed;  http://dbpedia.org/resource/Mark_E._Smith  ;true
http://dbpedia.org/resource/Sambrasa_Trio;  http://dbpedia.org/resource/Humberto_Clayber  ;true
http://dbpedia.org/resource/Sambrasa_Trio;  http://dbpedia.org/resource/Hermeto_Pascoal  ;true
http://dbpedia.org/resource/Sambrasa_Trio;  http://dbpedia.org/resource/Airto_Moreira  ;true
http://dbpedia.org/resource/Sly_and_Robbie;  http://dbpedia.org/resource/Robbie_Shakespeare  ;true
http://dbpedia.org/resource/Sly_and_Robbie;  http://dbpedia.org/resource/Robbie_Shakespeare  ;true
http://dbpedia.org/resource/Sly_and_Robbie;  http://dbpedia.org/resource/Sly_Dunbar  ;true
http://dbpedia.org/resource/Moe_(band);  http://dbpedia.org/resource/Vinnie_Amico  ;true
http://dbpedia.org/resource/Moe_(band);  http://dbpedia.org/resource/Al_Schnier  ;true
http://dbpedia.org/resource/Moe_(band);  http://dbpedia.org/resource/Rob_Derhak  ;true
http://dbpedia.org/resource/Moe_(band);  http://dbpedia.org/resource/Chuck_Garvey  ;true
http://dbpedia.org/resource/Babyshambles;  http://dbpedia.org/resource/Mick_Whitnall  ;true
http://dbpedia.org/resource/Babyshambles;  http://dbpedia.org/resource/Pete_Doherty  ;true
http://dbpedia.org/resource/Babyshambles;  http://dbpedia.org/resource/Drew_McConnell  ;true
http://dbpedia.org/resource/The_Teenage_Kissers;  http://dbpedia.org/resource/Nana_Kitade  ;true
http://dbpedia.org/resource/Belly_(band);  http://dbpedia.org/resource/Gail_Greenwood  ;true
http://dbpedia.org/resource/Belly_(band);  http://dbpedia.org/resource/Tanya_Donelly  ;true
http://dbpedia.org/resource/Hurricane_(band);  http://dbpedia.org/resource/Robert_Sarzo  ;true
http://dbpedia.org/resource/Von_Hemmling;  http://dbpedia.org/resource/Jim_McIntyre_(musician)  ;true
http://dbpedia.org/resource/Pyx_Lax;  http://dbpedia.org/resource/Babis_Stokas  ;true
http://dbpedia.org/resource/Pyx_Lax;  http://dbpedia.org/resource/Filippos_Pliatsikas  ;true
http://dbpedia.org/resource/Easy_Action_(band);  http://dbpedia.org/resource/Kee_Marcello  ;true
http://dbpedia.org/resource/Easy_Action_(band);  http://dbpedia.org/resource/Kee_Marcello  ;true
http://dbpedia.org/resource/Easy_Action_(band);  http://dbpedia.org/resource/Zinny_J._Zan  ;true
http://dbpedia.org/resource/BeauSoleil;  http://dbpedia.org/resource/Michael_Doucet  ;true
http://dbpedia.org/resource/Cadaver_(band);  http://dbpedia.org/resource/Dirk_Verbeuren  ;true
http://dbpedia.org/resource/Cadaver_(band);  http://dbpedia.org/resource/Anders_Odden  ;true
http://dbpedia.org/resource/Soul_for_Real;  http://dbpedia.org/resource/Jase4Real  ;true
http://dbpedia.org/resource/Soul_for_Real;  http://dbpedia.org/resource/Jase4Real  ;true
http://dbpedia.org/resource/Flashy_Python;  http://dbpedia.org/resource/Alec_Ounsworth  ;true
http://dbpedia.org/resource/Odd_Project;  http://dbpedia.org/resource/Jon_Kintz  ;true
http://dbpedia.org/resource/Carbonized;  http://dbpedia.org/resource/Christofer_Johnsson  ;true
http://dbpedia.org/resource/Carbonized;  http://dbpedia.org/resource/Lars_Rosenberg  ;true
http://dbpedia.org/resource/Carbonized;  http://dbpedia.org/resource/Piotr_Wawrzeniuk  ;true
http://dbpedia.org/resource/Divine_Heresy;  http://dbpedia.org/resource/Dino_Cazares  ;true
http://dbpedia.org/resource/Icon_of_Coil;  http://dbpedia.org/resource/Sebastian_Komor  ;true
http://dbpedia.org/resource/Icon_of_Coil;  http://dbpedia.org/resource/Sebastian_Komor  ;true
http://dbpedia.org/resource/Icon_of_Coil;  http://dbpedia.org/resource/Andy_LaPlegua  ;true
http://dbpedia.org/resource/SPA_(band);  http://dbpedia.org/resource/Simon_Toulson-Clarke  ;true
http://dbpedia.org/resource/Chage_and_Aska;  http://dbpedia.org/resource/Aska_(singer)  ;true
http://dbpedia.org/resource/Ninety_Pound_Wuss;  http://dbpedia.org/resource/Jeff_Suffering  ;true
http://dbpedia.org/resource/Marvelous_3;  http://dbpedia.org/resource/Butch_Walker  ;true
http://dbpedia.org/resource/Bourbon_Crow;  http://dbpedia.org/resource/Wednesday_13  ;true
http://dbpedia.org/resource/Viper_Solfa;  http://dbpedia.org/resource/Ronny_Thorsen  ;true
http://dbpedia.org/resource/Viper_Solfa;  http://dbpedia.org/resource/Krister_Dreyer  ;true
http://dbpedia.org/resource/Incognito_(band);  http://dbpedia.org/resource/Jean-Paul_'Bluey'_Maunick  ;true
http://dbpedia.org/resource/Incognito_(band);  http://dbpedia.org/resource/Maysa_Leak  ;true
http://dbpedia.org/resource/Incognito_(band);  http://dbpedia.org/resource/Tony_Momrelle  ;true
http://dbpedia.org/resource/Incognito_(band);  http://dbpedia.org/resource/Imaani  ;true
http://dbpedia.org/resource/Incognito_(band);  http://dbpedia.org/resource/Imaani  ;true
http://dbpedia.org/resource/Strong_Arm_Steady;  http://dbpedia.org/resource/Mitchy_Slick  ;true
http://dbpedia.org/resource/I_(band);  http://dbpedia.org/resource/Armagedda  ;true
http://dbpedia.org/resource/I_(band);  http://dbpedia.org/resource/King_ov_Hell  ;true
http://dbpedia.org/resource/Heathen_(band);  http://dbpedia.org/resource/Jon_Dette  ;true
http://dbpedia.org/resource/Heathen_(band);  http://dbpedia.org/resource/Lee_Altus  ;true
http://dbpedia.org/resource/Heathen_(band);  http://dbpedia.org/resource/David_White_(heavy_metal_vocalist)  ;true
http://dbpedia.org/resource/Heathen_(band);  http://dbpedia.org/resource/Jason_Viebrooks  ;true
http://dbpedia.org/resource/Telekinesis_(band);  http://dbpedia.org/resource/Michael_Benjamin_Lerner  ;true
http://dbpedia.org/resource/Defecation_(band);  http://dbpedia.org/resource/Mitch_Harris  ;true
